release_id,fiscal_year,indicator_id,indicator_name,prefecture_code,prefecture_name,population,cell_state,suppression_subtype,count_lower,count_upper,rate_lower_per_100k,rate_upper_per_100k,rate_status
No.2,2015,IND_5210011,根充済み,43,熊本県,1786000,observed,not_suppressed,2551.0,2551.0,142.8331,142.8331,point_identified
No.2,2015,IND_5210011,根充済み,44,大分県,1166000,observed,not_suppressed,1409.0,1409.0,120.8405,120.8405,point_identified
No.2,2015,IND_5210011,根充済み,45,宮崎県,1104000,observed,not_suppressed,196.0,196.0,17.7536,17.7536,point_identified
No.2,2015,IND_5210011,根充済み,46,鹿児島県,1648000,observed,not_suppressed,62904.0,62904.0,3816.9903,3816.9903,point_identified
No.2,2015,IND_5210011,根充済み,47,沖縄県,1434000,observed,not_suppressed,761.0,761.0,53.0683,53.0683,point_identified
No.2,2015,IND_5220077,血行性歯髄炎,01,北海道,5382000,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.2,2015,IND_5220077,血行性歯髄炎,02,青森県,1308000,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.2,2015,IND_5220077,血行性歯髄炎,03,岩手県,1280000,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.2,2015,IND_5220077,血行性歯髄炎,04,宮城県,2334000,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.2,2015,IND_5220077,血行性歯髄炎,05,秋田県,1023000,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.2,2015,IND_5220077,血行性歯髄炎,06,山形県,1124000,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.2,2015,IND_5220077,血行性歯髄炎,07,福島県,1914000,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.2,2015,IND_5220077,血行性歯髄炎,08,茨城県,2917000,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.2,2015,IND_5220077,血行性歯髄炎,09,栃木県,1974000,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.2,2015,IND_5220077,血行性歯髄炎,10,群馬県,1973000,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.2,2015,IND_5220077,血行性歯髄炎,11,埼玉県,7267000,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.2,2015,IND_5220077,血行性歯髄炎,12,千葉県,6223000,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.2,2015,IND_5220077,血行性歯髄炎,13,東京都,13515000,observed,not_suppressed,111.0,111.0,0.8213,0.8213,point_identified
No.2,2015,IND_5220077,血行性歯髄炎,14,神奈川県,9126000,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.2,2015,IND_5220077,血行性歯髄炎,15,新潟県,2304000,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.2,2015,IND_5220077,血行性歯髄炎,16,富山県,1066000,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
No.2,2015,IND_5220077,血行性歯髄炎,17,石川県,1154000,suppressed,ambiguous_suppression,,,,,not_bounded_ambiguous
