fiscal_year,population_year_or_date,prefecture_code,prefecture_name,population,source_name,source_path_or_url,denominator_definition,notes
2015,2015-10-01,19,山梨県,835000,e-Stat 人口推計 table_0003459027 (H27国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003459027&cdCat01=000&cdCat02=01000&cdCat03=001&cdTime=1501,総人口（男女計）2015-10-01 H27国勢調査基準 単位=千人→×1000,time_code=1501; 千人×1000=人; ダウンロード 2026-07-07
2015,2015-10-01,20,長野県,2099000,e-Stat 人口推計 table_0003459027 (H27国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003459027&cdCat01=000&cdCat02=01000&cdCat03=001&cdTime=1501,総人口（男女計）2015-10-01 H27国勢調査基準 単位=千人→×1000,time_code=1501; 千人×1000=人; ダウンロード 2026-07-07
2015,2015-10-01,21,岐阜県,2032000,e-Stat 人口推計 table_0003459027 (H27国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003459027&cdCat01=000&cdCat02=01000&cdCat03=001&cdTime=1501,総人口（男女計）2015-10-01 H27国勢調査基準 単位=千人→×1000,time_code=1501; 千人×1000=人; ダウンロード 2026-07-07
2015,2015-10-01,22,静岡県,3700000,e-Stat 人口推計 table_0003459027 (H27国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003459027&cdCat01=000&cdCat02=01000&cdCat03=001&cdTime=1501,総人口（男女計）2015-10-01 H27国勢調査基準 単位=千人→×1000,time_code=1501; 千人×1000=人; ダウンロード 2026-07-07
2015,2015-10-01,23,愛知県,7483000,e-Stat 人口推計 table_0003459027 (H27国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003459027&cdCat01=000&cdCat02=01000&cdCat03=001&cdTime=1501,総人口（男女計）2015-10-01 H27国勢調査基準 単位=千人→×1000,time_code=1501; 千人×1000=人; ダウンロード 2026-07-07
2015,2015-10-01,24,三重県,1816000,e-Stat 人口推計 table_0003459027 (H27国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003459027&cdCat01=000&cdCat02=01000&cdCat03=001&cdTime=1501,総人口（男女計）2015-10-01 H27国勢調査基準 単位=千人→×1000,time_code=1501; 千人×1000=人; ダウンロード 2026-07-07
2015,2015-10-01,25,滋賀県,1413000,e-Stat 人口推計 table_0003459027 (H27国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003459027&cdCat01=000&cdCat02=01000&cdCat03=001&cdTime=1501,総人口（男女計）2015-10-01 H27国勢調査基準 単位=千人→×1000,time_code=1501; 千人×1000=人; ダウンロード 2026-07-07
2015,2015-10-01,26,京都府,2610000,e-Stat 人口推計 table_0003459027 (H27国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003459027&cdCat01=000&cdCat02=01000&cdCat03=001&cdTime=1501,総人口（男女計）2015-10-01 H27国勢調査基準 単位=千人→×1000,time_code=1501; 千人×1000=人; ダウンロード 2026-07-07
2015,2015-10-01,27,大阪府,8839000,e-Stat 人口推計 table_0003459027 (H27国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003459027&cdCat01=000&cdCat02=01000&cdCat03=001&cdTime=1501,総人口（男女計）2015-10-01 H27国勢調査基準 単位=千人→×1000,time_code=1501; 千人×1000=人; ダウンロード 2026-07-07
2015,2015-10-01,28,兵庫県,5535000,e-Stat 人口推計 table_0003459027 (H27国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003459027&cdCat01=000&cdCat02=01000&cdCat03=001&cdTime=1501,総人口（男女計）2015-10-01 H27国勢調査基準 単位=千人→×1000,time_code=1501; 千人×1000=人; ダウンロード 2026-07-07
2015,2015-10-01,29,奈良県,1364000,e-Stat 人口推計 table_0003459027 (H27国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003459027&cdCat01=000&cdCat02=01000&cdCat03=001&cdTime=1501,総人口（男女計）2015-10-01 H27国勢調査基準 単位=千人→×1000,time_code=1501; 千人×1000=人; ダウンロード 2026-07-07
