release_id,fiscal_year,indicator_id,indicator_name,prefecture_code,prefecture_name,rate_lower_per_100k,rate_upper_per_100k,rank_best_possible,rank_worst_possible,rank_interval_width,ranking_status,ambiguity_context
No.2,2015,IND_5210011,根充済み,40,福岡県,51.274,51.274,46.0,46.0,0.0,stable_point_identified,
No.2,2015,IND_5210011,根充済み,41,佐賀県,61.1044,61.1044,44.0,44.0,0.0,stable_point_identified,
No.2,2015,IND_5210011,根充済み,42,長崎県,345.6064,345.6064,14.0,14.0,0.0,stable_point_identified,
No.2,2015,IND_5210011,根充済み,43,熊本県,142.8331,142.8331,33.0,33.0,0.0,stable_point_identified,
No.2,2015,IND_5210011,根充済み,44,大分県,120.8405,120.8405,38.0,38.0,0.0,stable_point_identified,
No.2,2015,IND_5210011,根充済み,45,宮崎県,17.7536,17.7536,47.0,47.0,0.0,stable_point_identified,
No.2,2015,IND_5210011,根充済み,46,鹿児島県,3816.9903,3816.9903,2.0,2.0,0.0,stable_point_identified,
No.2,2015,IND_5210011,根充済み,47,沖縄県,53.0683,53.0683,45.0,45.0,0.0,stable_point_identified,
No.3,2016,IND_5210011,根充済み,01,北海道,307.0815,307.0815,17.0,17.0,0.0,stable_point_identified,
No.3,2016,IND_5210011,根充済み,02,青森県,473.6272,473.6272,8.0,8.0,0.0,stable_point_identified,
No.3,2016,IND_5210011,根充済み,03,岩手県,91.5615,91.5615,42.0,42.0,0.0,stable_point_identified,
No.3,2016,IND_5210011,根充済み,04,宮城県,108.97,108.97,39.0,39.0,0.0,stable_point_identified,
No.3,2016,IND_5210011,根充済み,05,秋田県,170.5941,170.5941,31.0,31.0,0.0,stable_point_identified,
No.3,2016,IND_5210011,根充済み,06,山形県,353.1896,353.1896,13.0,13.0,0.0,stable_point_identified,
No.3,2016,IND_5210011,根充済み,07,福島県,378.485,378.485,11.0,11.0,0.0,stable_point_identified,
No.3,2016,IND_5210011,根充済み,08,茨城県,270.5336,270.5336,21.0,21.0,0.0,stable_point_identified,
No.3,2016,IND_5210011,根充済み,09,栃木県,298.9827,298.9827,18.0,18.0,0.0,stable_point_identified,
No.3,2016,IND_5210011,根充済み,10,群馬県,576.1566,576.1566,7.0,7.0,0.0,stable_point_identified,
No.3,2016,IND_5210011,根充済み,11,埼玉県,245.26,245.26,24.0,24.0,0.0,stable_point_identified,
No.3,2016,IND_5210011,根充済み,12,千葉県,103.0468,103.0468,40.0,40.0,0.0,stable_point_identified,
No.3,2016,IND_5210011,根充済み,13,東京都,194.084,194.084,27.0,27.0,0.0,stable_point_identified,
No.3,2016,IND_5210011,根充済み,14,神奈川県,219.825,219.825,26.0,26.0,0.0,stable_point_identified,
No.3,2016,IND_5210011,根充済み,15,新潟県,5739.2826,5739.2826,1.0,1.0,0.0,stable_point_identified,
No.3,2016,IND_5210011,根充済み,16,富山県,834.7785,834.7785,4.0,4.0,0.0,stable_point_identified,
No.3,2016,IND_5210011,根充済み,17,石川県,93.6577,93.6577,41.0,41.0,0.0,stable_point_identified,
No.3,2016,IND_5210011,根充済み,18,福井県,141.9437,141.9437,33.0,33.0,0.0,stable_point_identified,
No.3,2016,IND_5210011,根充済み,19,山梨県,79.0361,79.0361,43.0,43.0,0.0,stable_point_identified,
No.3,2016,IND_5210011,根充済み,20,長野県,665.3257,665.3257,5.0,5.0,0.0,stable_point_identified,
No.3,2016,IND_5210011,根充済み,21,岐阜県,126.9041,126.9041,36.0,36.0,0.0,stable_point_identified,
No.3,2016,IND_5210011,根充済み,22,静岡県,247.7766,247.7766,23.0,23.0,0.0,stable_point_identified,
No.3,2016,IND_5210011,根充済み,23,愛知県,113.534,113.534,38.0,38.0,0.0,stable_point_identified,
No.3,2016,IND_5210011,根充済み,24,三重県,257.4115,257.4115,22.0,22.0,0.0,stable_point_identified,
No.3,2016,IND_5210011,根充済み,25,滋賀県,119.7452,119.7452,37.0,37.0,0.0,stable_point_identified,
No.3,2016,IND_5210011,根充済み,26,京都府,176.238,176.238,30.0,30.0,0.0,stable_point_identified,
No.3,2016,IND_5210011,根充済み,27,大阪府,2747.7867,2747.7867,3.0,3.0,0.0,stable_point_identified,
No.3,2016,IND_5210011,根充済み,28,兵庫県,351.5399,351.5399,14.0,14.0,0.0,stable_point_identified,
No.3,2016,IND_5210011,根充済み,29,奈良県,307.9646,307.9646,16.0,16.0,0.0,stable_point_identified,
No.3,2016,IND_5210011,根充済み,30,和歌山県,375.1572,375.1572,12.0,12.0,0.0,stable_point_identified,
No.3,2016,IND_5210011,根充済み,31,鳥取県,186.1404,186.1404,28.0,28.0,0.0,stable_point_identified,
No.3,2016,IND_5210011,根充済み,32,島根県,141.4493,141.4493,34.0,34.0,0.0,stable_point_identified,
No.3,2016,IND_5210011,根充済み,33,岡山県,444.0731,444.0731,9.0,9.0,0.0,stable_point_identified,
